control,empre,alfanum,l1,l2,l3,l4,l5,l6,QR,A,B,POS,CAMBIO,IMA1,IMA2,IMA3,IMA4,IMA5,PAG,Bobina
34850988,CF,VHANbd9,O,U, , , ,X,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850988",D3,A8,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350687,36
34850989,CF,ZMdudW2,P,Q, , , ,X,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850989",C3,B9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350688,36
34850990,CF,Ywvp0ea, ,C, ,S,J, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850990",E4,D0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350689,36
34850991,CF,UGF5ogP, ,N, ,O, ,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850991",B4,C1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350690,36
34850992,CF,hBjec54, , ,G, ,O,X,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850992",B4,D2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350691,36
34850993,CF,j3MqkSd,O,V, , ,B, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850993",C4,E3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350692,36
34850994,CF,rQXw42f,T, , , ,Q,A,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850994",B4,B4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350693,36
34850995,CF,9ZM4gT6, ,Y, , ,E,V,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850995",D4,C5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,350694,36
34850996,CF,CJnvw4K, ,Q,Y, , ,L,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850996",E4,B6,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350695,36
34850997,CF,1mzN9fr,B, , , ,O,Y,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850997",E4,C7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350696,36
34850998,CF,xuR14wS,Q, ,P,B, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850998",E4,E8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350697,36
34850999,CF,wtbhn06, ,W,V, , ,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850999",D4,A9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,350698,36
34851000,CF,JrqCe1W,I,S, , ,K, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34851000",C5,C0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350699,36
34867158,CF,j1ebFpy,F, , ,M,C, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34867158",D1,D8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,366877,37
34867407,CF,YaP05CC, , ,V,G, ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34867407",B6,C7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,367126,37
34867984,CF,FkN3fKR,D, ,B, , ,U,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34867984",E4,D4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,367703,37
34867985,CF,DeRY9WE, ,J,Z,T, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34867985",C4,C5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,367704,37
34868088,CF,MfqTbj3,Y, , ,V,T, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868088",B4,B8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,367807,37
34868098,CF,XdMW5hd,A, , ,F, ,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868098",C5,C8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,367817,37
34868149,CF,1xmwTeZ, , ,J,D,F, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868149",D0,D9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,367868,37
34868624,CF,b7CEYby, , ,D,V,P, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868624",A8,B4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,368343,37
34868766,CF,TAK19Br, ,T,S, , ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868766",D2,A6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,368485,37
34868921,CF,XyPWGW4,G,O, ,F, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868921",B8,B1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,368640,37
34868922,CF,o56k4oq,C, , ,J,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868922",E8,B2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,368641,37
34868974,CF,dtrT6mQ, , , ,I,J,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34868974",D3,C4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,368693,37
34871580,CF,Ob2QhKB, ,Q,S,K, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34871580",E5,E0,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,371319,38
34871689,CF,AKed9ov, ,U,Q, ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34871689",C5,A9,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,371428,38
34872742,CF,A4oEbJb, ,B,C, , ,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872742",E1,B2,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,372481,38
34872789,CF,mTqyH4t, ,J, , ,X,M,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872789",C5,A9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,372528,38
34872981,CF,RHBgx2g, ,I, , ,I,N,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872981",B5,A1,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,372720,38
34872996,CF,HhZH53r,L,Q, , ,F, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872996",C6,A6,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,372735,38
34872997,CF,qXDNuN1, ,X, ,N, ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872997",D6,A7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,372736,38
34872998,CF,se1srbD,M,J, , ,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872998",C6,A8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,372737,38
34872999,CF,dS4Dwbg, ,P,O,B, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34872999",A6,C9,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,372738,38
34873000,CF,jE8Qkq2,L, , , ,J,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34873000",D7,D0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,372739,38
34873252,CF,snwCW7c,Q,V, ,N, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34873252",B2,C2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,372991,38
34873512,CF,0TpHP4B,W, , ,N,Z, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34873512",A8,A2,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,373251,38
34875491,CF,pqHYb4X,N, ,C, ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875491",A6,A1,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,375230,38
34875492,CF,8VSBb8x, , ,J,I,T, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875492",D6,B2,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,375231,38
34875493,CF,r9MQfxO, ,U,R, , ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875493",A6,D3,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,375232,38
34875494,CF,TC3BXvj,V, ,Z, ,R, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875494",C6,D4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,375233,38
34875495,CF,Y1nyHm0, , ,A, ,Z,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875495",C6,E5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,375234,38
34875717,CF,aBX7Hwz, , ,K,D,S, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875717",C8,D7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,375456,38
34875805,CF,deJo2jv, ,S,J, ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34875805",A7,E5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,375544,38
34876149,CF,1MSSyZX,P, , ,I, ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876149",D1,A9,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,375888,38
34876206,CF,yMQK85K,D, , ,K,Y, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876206",D7,B6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,375945,38
34876372,CF,Y2MtCCA,Y,G,C, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876372",C4,D2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,376111,38
34876373,CF,2S460e8,W, ,L,N, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876373",E4,B3,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,376112,38
34876374,CF,csTY6Xr, ,V, , ,O,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876374",A4,A4,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,376113,38
34876375,CF,SgDWs4b,G,G, ,D, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876375",D4,C5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376114,38
34876416,CF,bA79FYc,V,M,W, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876416",D8,E6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,376155,38
34876456,CF,tTae2o9,L, , ,C, ,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876456",C2,E6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,376195,38
34876470,CF,jdzC4WO, ,Y, ,M,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876470",B4,C0,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376209,38
34876507,CF,8rxdb9E,D, , ,Z, ,M,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876507",D7,B7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376246,38
34876678,CF,Ao9a7rw, ,D, ,C, ,J,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876678",B4,D8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376417,38
34876728,CF,631Oc0g, ,S, ,F,D, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876728",D9,C8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376467,38
34876729,CF,4X3kgVf,H, , ,X,B, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876729",C9,D9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,376468,38
34876730,CF,78S2WcG,W,Z, ,Z, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876730",C0,D0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,376469,38
34876749,CF,quPF8Bo, , ,V,R,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876749",A1,D9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,376488,38
34876774,CF,Xp5GpjM, ,Q,A, ,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876774",A4,E4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376513,38
34876785,CF,OmdFj9Q,G, ,H, , ,Z,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876785",E5,E5,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,376524,38
34876786,CF,1acNy03,S, , , ,U,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876786",C5,D6,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376525,38
34876788,CF,vF8UdMS, , ,G, ,B,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34876788",A5,E8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,376527,38
34877088,CF,aeB2AC8,V,Q, ,O, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877088",E5,B8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,376827,38
34877164,CF,3xxj31D,H,N,D, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877164",E3,C4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,376903,38
34877508,CF,BTUeH9F,P, , ,I,U, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877508",E7,D8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,377247,38
34877528,CF,X5HM2pv, ,K,Q,K, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877528",D9,C8,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,377267,38
34877536,CF,f8DQZ5d, , ,Q, ,D,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877536",D0,D6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,377275,38
34877592,CF,K7OWRMb, ,I, ,U, ,M,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877592",A6,D2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,377331,38
34877718,CF,E7jjTxD,W, , , ,R,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877718",A8,C8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,377457,38
34877720,CF,K7FUAAF,B,O,D, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877720",B9,B0,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,377459,38
34877806,CF,yMsM9U1, , , ,S,H,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877806",E7,D6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,377545,38
34877900,CF,5fRnjDX,M, , ,N, ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34877900",E7,A0,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,377639,38
34878453,CF,hJXW2hv,G,V, , ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878453",B2,B3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378192,38
34878467,CF,V4t4EAX,H,Y,T, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878467",D3,E7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,378206,38
34878533,CF,3H3Q9bZ,H,A, ,J, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878533",C0,A3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,378272,38
34878601,CF,OhodK5p,H,E, , , ,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878601",B7,C1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,378340,38
34878931,CF,UAvnj7g, , ,F,G,L, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878931",D0,E1,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378670,38
34878932,CF,4Pw7p7w, ,N,H,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878932",E0,B2,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,378671,38
34878933,CF,wW8AYGK, ,Z,A, ,C, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878933",B0,B3,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378672,38
34878934,CF,4VobtTh,S, ,U, ,B, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878934",A0,E4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,378673,38
34878935,CF,YDxER9P,A, , , ,U,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878935",D0,A5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378674,38
34878936,CF,pygh8On,R,I, , , ,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878936",C0,A6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378675,38
34878937,CF,s47BXWt,D,N, , ,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878937",E0,A7,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378676,38
34878938,CF,sWZ3hnk,K, ,G,P, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878938",D0,E8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378677,38
34878939,CF,6QdOdj0, ,E,U, ,V, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878939",C0,B9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378678,38
34878940,CF,xD1SyXm, , , ,B,N,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878940",D1,B0,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,378679,38
34878941,CF,n6ATrQy,V,P, ,Z, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878941",A1,A1,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378680,38
34878942,CF,1eVWhH3,Y,B,V, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878942",A1,D2,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378681,38
34878943,CF,2gwSr72, ,L, , ,X,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878943",B1,D3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378682,38
34878944,CF,PrV2s2R,R,Y,S, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34878944",B1,B4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378683,38
34879020,CF,H4cAzF2, , , ,A,W,J,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879020",E9,A0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378759,38
34879073,CF,PBYx4M7, ,W, , ,R,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879073",B4,C3,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,378812,38
34879093,CF,9FJR8an, , ,F,L, ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879093",D6,D3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,378832,38
34879094,CF,80FgKV4, ,L, ,T,E, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879094",E6,A4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,378833,38
34879153,CF,rN7TjJ7,V,X, , , ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879153",C2,B3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378892,38
34879154,CF,3s5XaON, , ,N,Y, ,V,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879154",B2,D4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378893,38
34879155,CF,fV66nMJ, , ,H,L, ,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34879155",B2,D5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,378894,38
